,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,City Weather Description
302,Oussouye,SN,12.485,-16.5469,84.29,27,73,10.76,broken clouds
303,Biskamzha,RU,53.4497,89.5272,-5.96,94,79,2.91,broken clouds
304,Baykit,RU,61.67,96.37,-22.99,98,52,3,broken clouds
305,Ust-Tsilma,RU,65.441,52.1498,13.15,96,100,4.41,light snow
306,Saint-Joseph,RE,-21.3667,55.6167,73.78,78,43,5.95,scattered clouds
307,Isangel,VU,-19.55,169.2667,79.09,88,83,9.46,broken clouds
308,Sinazongwe,ZM,-17.2614,27.4618,81.48,37,0,6.85,clear sky
309,Pangnirtung,CA,66.1451,-65.7125,3.2,47,100,0,overcast clouds
310,Fort Nelson,CA,58.8053,-122.7002,-27.81,68,0,3.44,clear sky
311,Shimoda,JP,34.6667,138.95,48.11,80,88,9.57,overcast clouds
312,Danshui,CN,22.7984,114.4672,49.55,70,96,8.86,overcast clouds
313,Khasan,RU,42.4308,130.6434,14.99,54,3,16.17,clear sky
314,Svarstad,NO,59.399,9.9698,34.38,44,73,1.01,broken clouds
315,Lompoc,US,34.6391,-120.4579,55.53,85,100,8.05,overcast clouds
316,Tingo Maria,PE,-9.2895,-76.0088,77.31,94,75,3.44,broken clouds
317,Hulan,CN,45.9833,126.6,-0.29,84,7,10.87,clear sky
318,Porto Novo,BJ,6.4965,2.6036,85.82,68,89,7.72,overcast clouds
319,Padang,ID,-0.9492,100.3543,76.57,88,100,4.45,moderate rain
320,Abaza,RU,52.655,90.0928,-10.28,96,28,3.47,scattered clouds
321,Kieta,PG,-6.2167,155.6333,78.46,85,100,3.13,overcast clouds
322,Jasper,US,37.2001,-94.3502,48.87,32,40,17.27,scattered clouds
323,Bubaque,GW,11.2833,-15.8333,81.88,55,37,12.73,scattered clouds
324,Comodoro Rivadavia,AR,-45.8667,-67.5,78.66,8,0,21.85,clear sky
325,Igarka,RU,67.4667,86.5833,3.78,96,100,10.6,overcast clouds
326,Rabo De Peixe,PT,37.8,-25.5833,63.28,97,40,5.75,scattered clouds
327,Tupelo,US,34.2576,-88.7034,44.42,46,0,6.91,clear sky
328,Antipolo,PH,14.5864,121.1753,77.92,90,75,3.44,light rain
